CUI1,CUI2,REL
C3161174,CN077787,CHD
C3266076,C1833369,CHD
C3266076,C1835894,CHD
C3266076,C1837210,CHD
C3266076,C1837213,CHD
C3266076,C1842143,CHD
C3266076,C1851878,CHD
C3266076,C1861537,CHD
C3266076,C1864323,CHD
C3266076,C1866070,CHD
C3266076,C2677434,CHD
C3266076,C2748505,CHD
C3266076,C3151222,CHD
C3469521,C1856796,CHD
C3501611,CN227788,CHD
C3696898,C1835905,CHD
C3696898,C1838049,CHD
C3696898,C1854335,CHD
C3711368,C1968602,CHD
C3711368,C1970456,CHD
C3711368,C1970470,CHD
C3711368,C2677877,CHD
C3711387,C1837501,CHD
C3711387,C1842109,CHD
C3711387,C1855081,CHD
C3711387,C1858108,CHD
C3711387,C1858516,CHD
C3711387,C1858535,CHD
C3711387,C2675187,CHD
C3711387,C3553414,CHD
C3711387,C3553886,CHD
C3711387,C3554499,CHD
C3711387,C3809431,CHD
C3711387,C4015080,CHD
C3711387,C4015156,CHD
C3711387,C4225310,CHD
C3711387,C4225338,CHD
C3888018,C0027773,CHD
C3888018,C1847555,CHD
C3888018,C1864902,CHD
C3888018,C1864948,CHD
C3888018,C1864952,CHD
C3888018,C1865290,CHD
C3888018,C2931832,CHD
C4085251,C1853473,CHD
C4085251,C4085252,CHD
C4275066,C0410480,CHD
C4275066,C4479260,CHD
CN029768,C0031269,CHD
CN029768,C0265325,CHD
CN029768,C0345893,CHD
CN029768,C1333990,CHD
CN029768,C1832587,CHD
CN029768,C1837315,CHD
CN029768,C1837750,CHD
CN029768,C1837991,CHD
CN029768,C1864730,CHD
CN029768,C1969113,CHD
CN029768,C2675480,CHD
CN029768,C2675481,CHD
CN029768,C2675482,CHD
CN029768,C2675483,CHD
CN029768,C2677120,CHD
CN029768,C2677121,CHD
CN029768,C2677122,CHD
CN029768,C2677123,CHD
CN029768,C2677290,CHD
CN029768,C2713442,CHD
CN029978,C0001193,CHD
CN029978,C0795998,CHD
CN029978,C1852406,CHD
CN029978,C1864436,CHD
CN029978,C2677099,CHD
CN029978,CN043619,CHD
CN029978,CN244906,CHD
CN031763,C1868685,CHD
CN031763,C2675476,CHD
CN031763,C2675477,CHD
CN031763,C2675478,CHD
CN031763,CN037005,CHD
CN031763,CN069138,CHD
CN034131,C0035828,CHD
CN034131,C1867904,CHD
CN034131,C2676723,CHD
CN035091,C0268626,CHD
CN035091,C2931013,CHD
CN043572,C0220754,CHD
CN043572,C0268581,CHD
CN043574,C0265234,CHD
CN043574,C1842124,CHD
CN043574,C1970479,CHD
CN043575,C0241005,CHD
CN043575,C1832567,CHD
CN043575,C1853698,CHD
CN043575,C3495498,CHD
CN043578,C0011195,CHD
CN043578,C0393818,CHD
CN043578,C1832334,CHD
CN043578,C1832399,CHD
CN043578,C1836336,CHD
CN043578,C1854449,CHD
CN043578,C1858278,CHD
CN043578,C1859198,CHD
CN043578,C1866636,CHD
CN043578,C1970011,CHD
CN043578,C3540453,CHD
CN043579,C1848947,CHD
CN043579,C1853198,CHD
CN043584,C1848172,CHD
CN043584,C3495587,CHD
CN043589,C2675237,CHD
CN043589,C2675750,CHD
CN043592,C1848552,CHD
CN043592,C1848561,CHD
CN043592,C1848578,CHD
CN043592,C1855128,CHD
CN043592,C1856057,CHD
CN043595,C0013264,CHD
CN043595,C0917713,CHD
CN043595,C3668940,CHD
CN043596,C1843013,CHD
CN043596,C1847200,CHD
CN043596,C1863052,CHD
CN043606,C0333497,CHD
CN043606,C1858915,CHD
CN043606,C2750475,CHD
CN043606,C4016880,CHD
CN043612,C0268747,CHD
CN043612,CN043606,CHD
CN043613,C0403399,CHD
CN043613,CN034406,CHD
CN043623,C1863051,CHD
CN043623,C1865868,CHD
CN043626,C1832567,CHD
CN043626,C1834653,CHD
CN043626,C1834659,CHD
CN043626,C1836765,CHD
CN043626,C1842062,CHD
CN043626,C3148763,CHD
CN043626,C3150786,CHD
CN043626,CN043575,CHD
CN043628,C0268312,CHD
CN043628,C3489789,CHD
CN043632,C0022541,CHD
CN043632,C0162674,CHD
CN043632,C0342784,CHD
CN043632,C3554462,CHD
CN043632,CN069134,CHD
CN043632,CN230130,CHD
CN043636,C1833053,CHD
CN043636,C1857854,CHD
CN043636,C3554224,CHD
CN043636,C3554225,CHD
CN043640,C1832998,CHD
CN043640,C1838280,CHD
CN043640,C1838429,CHD
CN043640,C1846843,CHD
CN043640,C2675767,CHD
CN043643,C0018523,CHD
CN043643,C0270724,CHD
CN043643,C0342286,CHD
CN043643,C0878682,CHD
CN043643,C1847640,CHD
CN043643,C1853578,CHD
CN043643,C1857747,CHD
CN043643,C3280371,CHD
CN043643,C3550973,CHD
CN043643,C3668943,CHD
CN043643,CN168656,CHD
CN043648,C1844678,CHD
CN043648,C3151897,CHD
CN043648,CN043649,CHD
CN043648,CN043650,CHD
CN043648,CN043651,CHD
CN043649,C1832187,CHD
CN043649,C1832379,CHD
CN043649,C1832425,CHD
CN043649,C1832475,CHD
CN043649,C1832476,CHD
CN043649,C1832932,CHD
CN043649,C1833021,CHD
CN043649,C1833503,CHD
CN043649,C1837609,CHD
CN043649,C1837617,CHD
CN043649,C1837640,CHD
CN043649,C1842108,CHD
CN043649,C1842136,CHD
CN043649,C1842371,CHD
CN043649,C1842939,CHD
CN043649,C1843232,CHD
CN043649,C1843895,CHD
CN043649,C1846922,CHD
CN043649,C1847626,CHD
CN043649,C1847972,CHD
CN043649,C1852282,CHD
CN043649,C1853451,CHD
CN043649,C1853760,CHD
CN043649,C1854158,CHD
CN043649,C1854594,CHD
CN043649,C1858172,CHD
CN043649,C1858916,CHD
CN043649,C1863659,CHD
CN043649,C1864957,CHD
CN043649,C1865366,CHD
CN043649,C1866095,CHD
CN043649,C2675236,CHD
CN043649,C2675238,CHD
CN043649,C2677637,CHD
CN043649,C3160736,CHD
CN043649,C3279948,CHD
CN043649,C3887929,CHD
CN043649,C3888123,CHD
CN043650,C1414017,CHD
CN043650,C1832394,CHD
CN043650,C1832827,CHD
CN043650,C1832828,CHD
CN043650,C1832978,CHD
CN043650,C1832992,CHD
CN043650,C1833319,CHD
CN043650,C1835854,CHD
CN043650,C1836027,CHD
CN043650,C1836199,CHD
CN043650,C1837007,CHD
CN043650,C1837608,CHD
CN043650,C1837857,CHD
CN043650,C1838263,CHD
CN043650,C1838701,CHD
CN043650,C1842342,CHD
CN043650,C1842345,CHD
CN043650,C1842381,CHD
CN043650,C1843028,CHD
CN043650,C1846576,CHD
CN043650,C1846784,CHD
CN043650,C1846839,CHD
CN043650,C1846896,CHD
CN043650,C1853223,CHD
CN043650,C1853248,CHD
CN043650,C1853276,CHD
CN043650,C1853941,CHD
CN043650,C1854275,CHD
CN043650,C1857744,CHD
CN043650,C1857750,CHD
CN043650,C1857809,CHD
CN043650,C1857811,CHD
CN043650,C1857820,CHD
CN043650,C1858695,CHD
CN043650,C1858840,CHD
CN043650,C1863561,CHD
CN043650,C1863613,CHD
CN043650,C1863655,CHD
CN043650,C1863752,CHD
CN043650,C1864199,CHD
CN043650,C1864276,CHD
CN043650,C1864746,CHD
CN043650,C1864815,CHD
CN043650,C1864818,CHD
CN043650,C1864962,CHD
CN043650,C1864964,CHD
CN043650,C1864968,CHD
CN043650,C1865870,CHD
CN043650,C1866094,CHD
CN043650,C1969621,CHD
CN043650,C1970239,CHD
CN043650,C2239351,CHD
CN043650,C2673759,CHD
CN043650,C2675235,CHD
CN043650,C2746083,CHD
CN043650,C2748554,CHD
CN043650,C2750082,CHD
CN043650,C3150654,CHD
CN043650,C3150704,CHD
CN043650,C3151230,CHD
CN043650,C3151351,CHD
CN043650,C3160740,CHD
CN043650,C3279660,CHD
CN043653,C0025237,CHD
CN043653,C0265251,CHD
CN043653,C0265293,CHD
CN043653,C1844696,CHD
CN043660,C0155015,CHD
CN043660,C0155016,CHD
CN043670,C1837549,CHD
CN043670,C1853296,CHD
CN043670,C3150942,CHD
CN043670,CN032975,CHD
CN043672,C0038015,CHD
CN043672,C0220685,CHD
CN043672,C0265279,CHD
CN043672,C0410480,CHD
CN043672,C0700635,CHD
CN043672,C0796173,CHD
CN043672,C1835437,CHD
CN043672,C1858079,CHD
CN043672,C2020284,CHD
CN043677,C1836217,CHD
CN043677,C1851102,CHD
CN043677,C1865040,CHD
CN043677,C1865915,CHD
CN043677,C2748801,CHD
CN043677,C2750404,CHD
CN043677,C2751105,CHD
CN043677,CN120301,CHD
CN069134,C1849096,CHD
CN069134,C1850406,CHD
CN069134,C3151513,CHD
CN072436,C1851124,CHD
CN072436,C2675440,CHD
CN072831,C0015306,CHD
CN072831,C1838420,CHD
CN072831,C1851413,CHD
CN073359,C0025268,CHD
CN073359,C0025269,CHD
CN073359,C1833921,CHD
CN073943,C1848862,CHD
CN073943,C2752041,CHD
CN073943,C3280146,CHD
CN076135,C0241908,CHD
CN076135,C1567741,CHD
CN078214,C0024796,CHD
CN078214,C0268338,CHD
CN078214,C0345050,CHD
CN078214,C2697933,CHD
CN117960,C0403553,CHD
CN117960,C1836517,CHD
CN117960,C1846979,CHD
CN117960,C1846980,CHD
CN117960,C1857779,CHD
CN117960,C3150877,CHD
CN117960,C4225263,CHD
CN117960,C4225376,CHD
CN117976,CN029274,CHD
CN117976,CN033863,CHD
CN117976,CN118023,CHD
CN117977,C1263858,CHD
CN117977,C1842898,CHD
CN118824,C1851402,CHD
CN118824,C1866176,CHD
CN118824,C2750079,CHD
CN118826,C0345050,CHD
CN118826,C1846837,CHD
CN118826,C1851504,CHD
CN118826,C2673186,CHD
CN118826,C3151077,CHD
CN118826,C3809513,CHD
CN118826,C4015368,CHD
CN118829,C0406702,CHD
CN118829,C1720965,CHD
CN118832,C0220748,CHD
CN118832,C1834821,CHD
CN118832,CN029084,CHD
CN118836,C1832274,CHD
CN118836,C1833308,CHD
CN118841,C0020445,CHD
CN118841,C1704417,CHD
CN118841,C1863512,CHD
CN118841,C1863551,CHD
CN118845,C0265216,CHD
CN118845,C0795953,CHD
CN118851,C0393808,CHD
CN118851,C0795910,CHD
CN118851,C1839566,CHD
CN118851,C1844865,CHD
CN118851,C1844873,CHD
CN118946,C0005859,CHD
CN118946,C0010674,CHD
CN118946,C0013364,CHD
CN118946,C0013423,CHD
CN118946,C0039373,CHD
CN118946,C0206307,CHD
CN118946,C0238286,CHD
CN118946,C0268242,CHD
CN118946,C1961835,CHD
CN118946,C3468041,CHD
CN119421,C0010324,CHD
CN119421,C2931132,CHD
CN119432,C0432235,CHD
CN119432,C3150874,CHD
CN119432,C3279807,CHD
CN119432,C3280616,CHD
CN119492,C0035828,CHD
CN119492,C1859062,CHD
CN119492,C1867904,CHD
CN119492,C2678483,CHD
CN119492,C2678484,CHD
CN119492,C2678485,CHD
CN119492,C2751830,CHD
CN119492,C3150733,CHD
CN119492,C3150943,CHD
CN119492,C3150953,CHD
CN119529,C0268494,CHD
CN119529,C1847024,CHD
CN119611,C0085413,CHD
CN119611,C2751306,CHD
CN120488,C1846265,CHD
CN120488,C1855052,CHD
CN120488,C1859773,CHD
CN120488,C1864720,CHD
CN120500,C1859359,CHD
CN120500,C2673861,CHD
CN120500,C2677809,CHD
CN158709,C1838625,CHD
CN158709,C3280203,CHD
CN158709,C3280214,CHD
CN158709,C3810265,CHD
CN160484,C1865295,CHD
CN160484,C2748545,CHD
CN160484,C3553404,CHD
CN160484,C3810332,CHD
CN163181,C0265283,CHD
CN163181,C1850554,CHD
CN163181,C3668942,CHD
CN166718,C0027831,CHD
CN166718,C0028326,CHD
CN166718,C0175704,CHD
CN166718,C0349639,CHD
CN166718,C0410530,CHD
CN166718,C0587248,CHD
CN166718,C1843181,CHD
CN166718,C1969623,CHD
CN166718,CN029449,CHD
CN166718,CN030594,CHD
CN168056,C2676243,CHD
CN168056,C3280644,CHD
CN168920,C0282529,CHD
CN168920,C1832200,CHD
CN169884,C1833308,CHD
CN169884,C1834692,CHD
CN169884,C1834703,CHD
CN169884,C1846823,CHD
CN169884,C1858517,CHD
CN169884,C1866784,CHD
CN169884,C2608087,CHD
CN169884,C3553656,CHD
CN176898,C1858854,CHD
CN176898,C3151355,CHD
CN176898,C3151356,CHD
CN177837,C0432284,CHD
CN177837,C3809084,CHD
CN179857,C2749007,CHD
CN179857,C2749022,CHD
CN181223,CN077961,CHD
CN181223,CN128903,CHD
CN181223,CN181199,CHD
CN184090,C1852514,CHD
CN184090,CN077963,CHD
CN184090,CN077983,CHD
CN184091,C1838854,CHD
CN184091,CN184225,CHD
CN184091,CN184545,CHD
CN184091,CN184546,CHD
CN184091,CN184547,CHD
CN200645,C1864846,CHD
CN200645,C1864851,CHD
CN200645,C3280094,CHD
CN200645,C4014425,CHD
CN200685,C1832814,CHD
CN200685,C2363129,CHD
CN200689,C1852581,CHD
CN200689,C1852587,CHD
CN203634,C0268226,CHD
CN203634,C0268228,CHD
CN206207,C0162871,CHD
CN206207,C1853364,CHD
CN206207,C2678470,CHD
CN206207,C3280597,CHD
CN206774,C0878683,CHD
CN206774,C2678408,CHD
CN206774,C2751608,CHD
CN206774,C3151440,CHD
CN206774,C3489787,CHD
CN207123,C1868682,CHD
CN207123,C1970238,CHD
CN220387,C1838103,CHD
CN220387,C3150802,CHD
CN221268,CN077984,CHD
CN221268,CN221254,CHD
CN221268,CN221255,CHD
CN221268,CN221263,CHD
CN221268,CN221264,CHD
CN221268,CN221265,CHD
CN227588,C0574080,CHD
CN227588,C1845862,CHD
CN227588,C2675179,CHD
CN228160,C4014605,CHD
CN228160,C4015452,CHD
CN228161,C3809522,CHD
CN228161,C4225400,CHD
CN229602,C1260386,CHD
CN229602,C1854107,CHD
CN229602,C3150933,CHD
CN230130,C2749861,CHD
CN230130,C2749864,CHD
CN230130,C3151476,CHD
CN230130,C3809592,CHD
CN231410,C0023817,CHD
CN231410,C1720779,CHD
CN231410,C1861560,CHD
CN231410,C4014767,CHD
CN239582,C1859807,CHD
CN239582,C1865864,CHD
CN239582,C3280587,CHD
CN244423,C2931788,CHD
CN244423,CN072395,CHD
CN244423,CN072396,CHD
CN282828,C2677299,CHD
CN282828,C4479220,CHD
CN357508,C2673520,CHD
CN357508,C2674665,CHD
CN357508,C2675112,CHD
CN357508,C2675128,CHD
CN357508,C2675470,CHD
CN357508,C2675471,CHD
CN357508,C2676832,CHD
CN357508,C2676833,CHD
CN357508,C4017829,CHD
CN643617,C1843330,CHD
CN643617,C3179239,CHD
CN924914,C0024776,CHD
CN924914,C0268568,CHD
CN924914,C1855369,CHD
CN924915,C1853926,CHD
CN924915,CN239822,CHD
